UserId,product_list
2,"[11660064, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 13038940, 12658000]"
28,"[12360404, 13039778, 11659838, 12407652, 12407706, 13039752, 13039812, 12371282, 12371276, 11659004]"
36,"[11460916, 12360448, 12407648, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268]"
38,"[11659712, 11659798, 12406972, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268]"
41,"[11659236, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 13038940, 12658000]"
52,"[11659236, 12406894, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 13038940]"
67,"[11659776, 11659842, 12658300, 12658400, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668]"
69,"[11660094, 12407388, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 13038940]"
80,"[11659972, 12371246, 12371376, 12657766, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668]"
97,"[11520046, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 13038940, 12658000]"
100,"[12407388, 12407526, 11360912, 11460964, 11659566, 11659570, 11659602, 11659616, 11659626, 11659764]"
102,"[11361056, 11659626, 12657510, 12657762, 13038848, 13039602, 12371282, 12371276, 11659004, 11360668]"
137,"[12658482, 13039516, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 13038940]"
142,"[11659696, 12407012, 12407624, 12407940, 12658154, 12371282, 12371276, 11659004, 11360668, 11360688]"
159,"[13038974, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 13038940, 12658000]"
161,"[12407642, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 13038940, 12658000]"
208,"[12406874, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13038940, 12658000, 13038926]"
224,"[13038648, 13649990, 11659158, 11659272, 11660114, 12371282, 11659004, 12371276, 11360668, 11360688]"
238,"[12995906, 13038832, 13039602, 13039650, 11145740, 13038858, 13039076, 12371282, 11659004, 12371276]"
244,"[12371372, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13038940, 12658000, 13038926]"
247,"[12658000, 13653674, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13038940, 13038926]"
284,"[11407222, 11659740, 12360390, 12407850, 12657802, 12371282, 12371276, 11659004, 11360668, 11360688]"
299,"[11659104, 11659448, 11659540, 11659576, 11659878, 12406978, 12407022, 13038820, 12371282, 12371276]"
322,"[11659980, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940, 13038926, 13038938, 12658000]"
348,"[13039814, 13038854, 13038856, 13038940, 13039076, 13039508, 12658574, 13038930, 13038932, 12657356]"
360,"[12371280, 12407132, 13038826, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940, 13038926]"
377,"[11659518, 12371314, 12371318, 12407390, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940]"
378,"[12657716, 12658104, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940, 13038926, 13038938]"
382,"[12371378, 12407318, 12657340, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940, 13038926]"
402,"[12371368, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940, 13038926, 13038938, 12658000]"
430,"[11460780, 11141346, 11335962, 11360872, 11407410, 11460990, 11659960, 11659990, 12406886, 12406904]"
466,"[11360912, 11407116, 11481024, 11658984, 12371354, 12407390, 12407502, 12407520, 12371282, 12371276]"
472,"[11407408, 11659716, 12396536, 11659878, 12371242, 13039840, 12371282, 12371276, 11659004, 11360668]"
480,"[12406912, 12407522, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940, 13038926, 13038938]"
490,"[12407802, 12407730, 12407766, 12407814, 12657614, 12658366, 12658376, 12658404, 12658448, 13039518]"
518,"[12658356, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940, 12658000, 13038926, 13038938]"
542,"[11360884, 11659004, 11659688, 12371282, 12371276, 11360668, 11360688, 13038940, 12658000, 13038926]"
565,"[12360398, 13039780, 12371282, 12371276, 11659004, 11360668, 11360688, 13038940, 12658000, 13038926]"
578,"[12407780, 13039514, 13039526, 13039782, 12360390, 13039818, 13039828, 12371282, 12371276, 11659004]"
579,"[11660002, 12360374, 12658584, 12696914, 12371282, 12371276, 11659004, 11360668, 11360688, 12658000]"
593,"[13039518, 12371282, 12371276, 11659004, 11360668, 11360688, 12658000, 11351668, 13038940, 13038926]"
608,"[12657500, 12657714, 12657722, 12658232, 12658396, 12658414, 12658438, 12658458, 12995904, 12371282]"
611,"[11407170, 12407770, 12371282, 12371276, 11659004, 11360668, 11360688, 12658000, 11351668, 13038940]"
635,"[13039516, 12371282, 12371276, 11659004, 11360668, 11360688, 12658000, 11351668, 13038940, 13038926]"
640,"[12360454, 12371282, 12371276, 11659004, 11360668, 11360688, 12658000, 11351668, 13038940, 13038926]"
654,"[12657718, 11658992, 11659006, 11659326, 11659490, 11659934, 11659972, 11659990, 11660004, 12657638]"
661,"[11659860, 12407770, 12658616, 13038820, 12371282, 12371276, 11659004, 11360668, 11360688, 12658000]"
666,"[12657724, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 12371284, 11141346]"
669,"[12360444, 12407742, 13039516, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268]"
683,"[11360934, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 12371284, 11141346]"
687,"[13039524, 13039780, 13039822, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268]"
689,"[13039482, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 12371284, 11141346]"
691,"[12406936, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 12371284, 11141346]"
714,"[11659624, 12407010, 13038648, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268]"
718,"[12657584, 12658620, 13038974, 13039490, 13039792, 12371282, 12371276, 11659004, 11360668, 11360688]"
735,"[12407770, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 12371284, 11141346]"
